Wall time,Step,Value
1611068818.5635595,274600,-225.87191772460938
1611068915.913169,275800,-235.26588439941406
1611068957.1427822,276100,-219.60653686523438
1611069083.9815407,277500,-211.34628295898438
1611069378.3111758,281000,-214.35240173339844
1611069386.383177,281100,-226.73060607910156
1611069394.4501767,281200,-223.14483642578125
1611069536.8032472,283000,-231.2479248046875
1611069656.9623866,284500,-226.70684814453125
1611070052.0675118,289300,-227.81338500976562
1611070126.55957,290200,-228.023681640625
1611070189.5665762,291100,-233.1083984375
1611070232.8545995,291700,-230.18759155273438
1611070398.2157264,293800,-231.7215576171875
1611070412.8156896,294000,-227.37591552734375
1611070425.8796918,294100,-227.6855010986328
1611070791.3487492,298800,-222.60009765625
1611070845.4848168,299600,-231.2542724609375
1611071001.3958116,301900,-240.8032989501953
1611071084.7236302,302800,-238.11248779296875
1611071112.6386576,303200,-240.97021484375
1611071139.029539,303600,-232.5902099609375
1611071222.6696508,304800,-245.00003051757812
1611071241.132203,305100,-235.19053649902344
1611071290.7892008,305900,-235.53936767578125
1611071319.22073,306200,-234.30401611328125
1611071503.8705325,308600,-241.57057189941406
1611071526.1635296,309000,-229.06695556640625
1611071538.260532,309200,-234.6576385498047
1611071722.5922666,312000,-236.52969360351562
1611071890.396266,314300,-237.0433349609375
1611071988.342268,315800,-236.5393829345703
1611072041.2052665,316600,-246.65614318847656
1611072070.9672673,317100,-244.91502380371094
1611072101.5842693,317600,-241.43759155273438
1611072141.3252676,318200,-247.07696533203125
1611072232.6142678,319800,-251.82638549804688
1611072340.7242706,321600,-241.989013671875
1611072346.4252703,321700,-240.70663452148438
1611072390.3282707,322400,-241.69354248046875
1611072406.3432713,322700,-260.1744384765625
1611072544.5782743,325100,-238.28353881835938
1611072561.722268,325400,-254.17771911621094
1611072606.167268,326100,-238.94766235351562
1611072622.5282683,326400,-245.19143676757812
1611072627.7772672,326500,-241.92617797851562
1611072639.9412713,326700,-232.3878936767578
1611072646.1422663,326800,-247.33578491210938
1611072796.323267,329300,-239.38465881347656
1611072854.7602727,330200,-246.76681518554688
1611073009.8242714,332600,-251.86447143554688
1611073055.551268,333400,-245.23843383789062
1611073144.0922902,334800,-244.3236541748047
1611073150.0002935,334900,-257.836181640625
1611073247.1242895,336600,-258.8760986328125
1611073393.3622901,339500,-248.25738525390625
1611073401.8312879,339700,-254.77191162109375
1611073449.975289,340700,-249.67660522460938
1611073531.6302915,342400,-252.28826904296875
